pair, app_id, platform
ALGO/COOP,1002541853,Tinyman AMM v.2
ALGO/PEPE,1002541853,Tinyman AMM v.2
ALGO/STBL,607645439,AlgoFi
ALGO/USDC,605929989,AlgoFi
ALGO/USDC,1002541853,Tinyman AMM v.2
ALGO/AF-BANK-ALGO,818179346,AlgoFi
USDC/STBL,658337046,AlgoFi
ALGO/USDC,620995314,Pact
ALGO/OPUL,1002541853,Tinyman AMM v.2
ALGO/OPUL,635146381,Pact
AF-BANK-ALGO/AF-BANK-STBL2,855716333,AlgoFi
ALGO/goBTC,661744776,Pact
ALGO/Vote,662102761,Pact
ALGO/goETH,645869114,Pact
USDC/Vote,662105634,Pact
ALGO/USDC,1056825958,Pact
USDC/AF-BANK-USDC-STANDARD,818182048,AlgoFi
ALGO/Vote,1075389128,Pact
ALGO/goUSD,835609896,HumbleSwap
goETH/STBL,635853824,AlgoFi
